,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,0,ES,1644202568,78,36.5939,-6.233,54.25,5.75
1,merauke,77,ID,1644202505,63,-8.4667,140.3333,86.92,7.47
2,ahipara,97,NZ,1644202569,96,-35.1667,173.1667,75.11,6.17
3,bredasdorp,13,ZA,1644202570,88,-34.5322,20.0403,65.28,5.75
4,hobyo,98,SO,1644202422,72,5.3505,48.5268,75.52,17.36
5,dong xoai,44,CM,1644202571,37,4.895,12.0057,63.54,0.4
6,lebu,3,CL,1644202571,92,-37.6167,-73.65,59.22,15.41
7,tiznit,4,MA,1644202572,22,29.5833,-9.5,60.64,6.98
8,mataura,8,NZ,1644202534,34,-46.1927,168.8643,60.48,2.75
9,apiai,59,BR,1644202572,100,-24.5094,-48.8425,63.93,2.19
10,albany,10,US,1644202573,75,42.6001,-73.9662,21.31,4.18
11,vagur,98,FO,1644202573,44,61.4732,-6.8119,36.84,13.09
12,avarua,75,CK,1644202574,69,-21.2078,-159.775,80.65,11.5
13,arkhara,100,RU,1644202575,93,49.4212,130.0842,-2.83,2.21
14,hamilton,100,US,1644202430,85,39.1834,-84.5333,30.97,3.09
15,port alfred,100,CD,1644202503,89,-7.0349,29.7638,69.89,2.35
16,hermanus,66,ZA,1644202576,92,-34.4187,19.2345,65.8,4.25
17,butaritari,71,KI,1644202577,76,3.0707,172.7902,81.84,15.43
18,danshui,100,CN,1644202577,85,22.7984,114.4672,65.88,5.84
19,leningradskiy,63,RU,1644202479,100,69.3833,178.4167,-26.57,2.82
20,kyaikto,8,MM,1644202578,48,17.3,97.0167,79.47,2.55
21,east london,100,IS,1644202579,92,65.0,-15.0,10.15,8.28
22,severo-kurilsk,100,RU,1644202367,83,50.6789,156.125,31.5,10.07
23,hokitika,100,NZ,1644202579,66,-42.7167,170.9667,63.82,3.44
24,malanje,80,AO,1644202580,86,-9.5402,16.341,59.05,2.68
25,cape town,0,CL,1644202580,40,-36.413,-71.9028,74.62,0.47
26,jamestown,63,US,1644202581,10,42.097,-79.2353,29.71,7.85
27,cidreira,8,BR,1644202581,74,-30.1811,-50.2056,68.22,7.81
28,gushikawa,99,JP,1644202582,59,26.3544,127.8686,65.43,11.86
29,aloleng,14,PH,1644202399,59,16.1307,119.7824,84.33,12.19
30,castro,2,BR,1644202502,84,-24.7911,-50.0119,61.56,2.1
31,katsuura,16,JP,1644202573,31,35.1333,140.3,46.51,4.5
32,anadyr,0,RU,1644202403,84,64.75,177.4833,-14.3,11.18
33,rio grande,91,GR,1644202583,87,38.3,21.7833,56.59,5.23
34,ushuaia,75,AR,1644202288,67,-54.8,-68.3,60.46,12.66
35,busselton,70,AU,1644202520,51,-33.65,115.3333,67.08,20.04
36,upernavik,100,GL,1644202336,100,72.7868,-56.1549,-14.49,8.41
37,rikitea,16,PF,1644202328,72,-23.1203,-134.9692,79.02,18.75
38,saint-francois,100,FR,1644202585,92,46.4154,3.9054,48.67,16.11
39,lagoa,7,PT,1644202585,85,39.05,-27.9833,59.56,16.49
40,barrow,13,US,1644202423,98,71.2906,-156.7887,-31.14,10.76
41,saint-philippe,94,RE,1644202422,85,-21.3585,55.7679,78.35,14.65
42,nome,8,US,1644202586,91,64.5011,-165.4064,-17.73,9.28
43,maceio,20,BR,1644202342,83,-9.6658,-35.7353,76.44,3.44
44,marawi,50,PH,1644202482,49,7.9986,124.2928,73.65,5.3
45,port elizabeth,100,CD,1644202587,89,-7.0349,29.7638,69.89,2.35
46,arraial do cabo,100,BR,1644202588,97,-22.8362,-46.646,74.61,1.01
47,hilo,85,US,1644202589,89,19.7297,-155.09,75.25,8.46
48,kavaratti,14,IN,1644202438,67,10.5669,72.642,77.65,6.93
49,olafsvik,100,IS,1644202590,92,64.8945,-23.7142,29.12,37.27
50,carutapera,100,BR,1644202590,94,-1.195,-46.02,75.67,4.45
51,alyangula,40,AU,1644202591,74,-13.8483,136.4192,87.67,9.22
