,City,Country,Lat,Lng,Hotel Name
0,puerto ayora,ES,36.5939,-6.233,Hotel Puertobahia & Spa
1,merauke,ID,-8.4667,140.3333,
2,ahipara,NZ,-35.1667,173.1667,Ahipara Bay Motel
3,bredasdorp,ZA,-34.5322,20.0403,Victoria Hotel - Bredasdorp
4,hobyo,SO,5.3505,48.5268,Osmani Hotel
5,dong xoai,CM,4.895,12.0057,
6,lebu,CL,-37.6167,-73.65,Hotel Plaza Lebu
7,tiznit,MA,29.5833,-9.5,
8,mataura,NZ,-46.1927,168.8643,Falls Hotel
9,apiai,BR,-24.5094,-48.8425,HOTEL BURKNER APIAI
10,albany,US,42.6001,-73.9662,
11,vagur,FO,61.4732,-6.8119,Hotel Bakkin
12,avarua,CK,-21.2078,-159.775,The Islander Hotel
13,arkhara,RU,49.4212,130.0842,"Gostinitsa ""Arkhara"""
14,hamilton,US,39.1834,-84.5333,
15,port alfred,CD,-7.0349,29.7638,Hotel Keyanike
16,hermanus,ZA,-34.4187,19.2345,Misty Waves Boutique Hotel
17,butaritari,KI,3.0707,172.7902,
18,danshui,CN,22.7984,114.4672,Legend Garden Hotel
19,leningradskiy,RU,69.3833,178.4167,
20,kyaikto,MM,17.3,97.0167,Thuwunna Bomi Mountain View Hotel & Resort
21,east london,IS,65.0,-15.0,Hengifoss Guesthouse
22,severo-kurilsk,RU,50.6789,156.125,Kak Doma
23,hokitika,NZ,-42.7167,170.9667,Beachfront Hotel Hokitika
24,malanje,AO,-9.5402,16.341,ABWIK Hotel's
25,cape town,CL,-36.413,-71.9028,Hotel Molino Viejo
26,jamestown,US,42.097,-79.2353,La Quinta Inn & Suites by Wyndham Jamestown
27,cidreira,BR,-30.1811,-50.2056,Hotel Castelo
28,gushikawa,JP,26.3544,127.8686,Hotel R9 The Yard
29,aloleng,PH,16.1307,119.7824,
30,castro,BR,-24.7911,-50.0119,Central Palace Hotel
31,katsuura,JP,35.1333,140.3,Katsuura Hilltop Hotel & Residence
32,anadyr,RU,64.75,177.4833,Chukotka hotel
33,rio grande,GR,38.3,21.7833,Airotel Achaia Beach
34,ushuaia,AR,-54.8,-68.3,Arakur Ushuaia Resort & Spa
35,busselton,AU,-33.65,115.3333,The Sebel Busselton
36,upernavik,GL,72.7868,-56.1549,Café de Upernavik
37,rikitea,PF,-23.1203,-134.9692,People ThankYou
38,saint-francois,FR,46.4154,3.9054,
39,lagoa,PT,39.05,-27.9833,Graciosa Resort - Biosphere Island Hotel
40,barrow,US,71.2906,-156.7887,King Eider Inn
41,saint-philippe,RE,-21.3585,55.7679,Hôtel Les Embruns Du Baril
42,nome,US,64.5011,-165.4064,Nome Nugget Inn
43,maceio,BR,-9.6658,-35.7353,Acqua Suítes Maceió
44,marawi,PH,7.9986,124.2928,Marawi Resort Hotel
45,port elizabeth,CD,-7.0349,29.7638,Hotel Keyanike
46,arraial do cabo,BR,-22.8362,-46.646,
47,hilo,US,19.7297,-155.09,Hilo Reeds Bay Hotel
48,kavaratti,IN,10.5669,72.642,Hotels in Lakshadweep Islands
49,olafsvik,IS,64.8945,-23.7142,Hotel Olafsvik
50,carutapera,BR,-1.195,-46.02,HOTEL R. SOARES 2
51,alyangula,AU,-13.8483,136.4192,Groote Eylandt Lodge
52,key west,US,32.7282,-101.7996,
53,vaini,TO,-21.2,-175.2,Paradise First Hotel
54,plettenberg bay,DE,51.2167,7.8833,Hotel Weidenhof
55,morehead,US,37.2711,-87.1764,CCI Express Inn
56,aklavik,CA,68.2191,-135.0107,Sundog Inn
57,tuktoyaktuk,CA,69.4541,-133.0374,Smitty's Bed and Breakfast
58,auki,SB,-8.7676,160.7034,Auki Lodge
59,waipawa,NZ,-41.4122,175.5153,
60,shaoguan,CN,24.8,113.5833,Vienna Hotel
61,mys shmidta,RU,62.0589,48.6201,
62,new norfolk,LR,6.6518,-10.5932,
63,esperance,AU,-33.8667,121.9,Comfort Inn Bay Of Isles
64,ancud,CL,-41.8697,-73.8203,Panamericana Hotel Ancud
65,punta arenas,PH,8.9897,125.34,
66,dingle,PH,10.9995,122.6711,
67,lompoc,US,34.6391,-120.4579,SureStay Plus Hotel By Best Western Lompoc
68,mehamn,NO,71.0357,27.8492,Mehamn Arctic Hotel AS
69,grand river south east,US,38.8755,-109.5012,
70,fukue,JP,32.6881,128.8419,SERENDIP HOTEL GOTO
71,pevek,RU,69.7008,170.3133,Munitsipal'naya Gostinitsa
72,isangel,VU,-19.55,169.2667,Tanna Lodge
73,klaksvik,FO,62.2266,-6.589,Hotel Klaksvík
74,samarai,PG,-10.6167,150.6667,Nuli Sapi
75,vila velha,PT,42.0304,-8.1588,Hotel Castrum Villae
76,portobelo,PA,9.55,-79.65,El Otro Lado - Private Retreat
77,ust-kulom,RU,61.6864,53.6902,
78,maumelle,US,34.8668,-92.4043,"Holiday Inn Express & Suites Maumelle - Little Rock NW, an IHG Hotel"
79,qaanaaq,GL,77.484,-69.3632,Qaanaaq Hotel
80,mahenge,TZ,-8.6833,36.7167,Tempelo Hotel
81,provideniya,RU,64.3833,-173.3,
82,hobart,AU,-42.8794,147.3294,Hotel Grand Chancellor Hobart
83,fortuna,US,40.5982,-124.1573,"The Redwood Riverwalk, A Boutique Motel"
84,zabrisce,BA,43.7925,16.9422,Hotel Bacchus Livno
85,acapulco,MX,16.8634,-99.8901,Hotel Romano Palace Acapulco
86,barreirinhas,BR,-2.7469,-42.8264,Gran Lençóis Flat Residence
87,wanning,CN,18.8003,110.3967,万宁日月湾酒店
88,konokovo,RU,44.8616,41.3266,
89,dikson,RU,73.5069,80.5464,
90,mogadishu,SO,2.0371,45.3438,Jowhara International Hotel
91,bocaiuva,BR,-17.1078,-43.815,Pontual Hotel
92,lorengau,PG,-2.0226,147.2712,Lorengau Harbourside Hotel
93,stuttgart,DE,48.7823,9.177,Hotel Unger
94,victoria,HK,22.2855,114.1577,Hotel ICON
95,asmara,ER,15.3333,38.9333,Asmara Palace Hotel
96,mount gambier,GB,53.6597,-1.8537,Cambridge Hotel
97,fairbanks,US,64.8378,-147.7164,Holiday Inn Express Northern Lights Inn
98,darhan,MN,49.4867,105.9228,MBM HOTEL
99,cabo san lucas,BR,-8.2833,-35.0333,Aymara Hotel Fazenda
100,faanui,PF,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
101,crucea,RO,44.5333,28.2333,
102,mar del plata,ES,43.4002,-4.0094,Hotel El Castillo de los Locos
103,kahului,US,20.8947,-156.47,Maui Seaside Hotel
104,ribeira grande,ES,42.7461,-8.4439,
105,airai,TL,-8.9266,125.4092,
106,bell ville,US,31.0502,-97.4669,La Quinta Inn & Suites by Wyndham Belton - Temple South
107,hithadhoo,MV,-0.6,73.0833,Pebbles Inn
108,mareeba,AU,-17.0,145.4333,Taj on Byrnes Luxury Accommodation Mareeba
109,carnarvon,AU,-24.8667,113.6333,Hospitality Carnarvon
110,mizdah,LY,31.4451,12.9801,فندق مزدة الكبير
111,sioux lookout,US,42.7333,-96.2336,Baymont by Wyndham LeMars
112,adana,TR,36.985,35.2881,Ramada Hotel & Suites by Wyndham Adana
113,bocas del toro,CU,21.0716,-76.2737,
114,kadrina,EE,59.3347,26.145,St. Catharine's Guesthouse
